timestamp,service,value
1789444005,monolith,1
1789444015,monolith,1
1789444025,monolith,4
1789444035,monolith,9
1789444045,monolith,12
1789444055,monolith,14
1789444065,monolith,14
1789444075,monolith,14
1789444085,monolith,14
1789444095,monolith,14
1789444105,monolith,14
1789444115,monolith,14
1789444125,monolith,14
1789444135,monolith,14
1789444145,monolith,14
1789444155,monolith,14
1789444165,monolith,14
1789444175,monolith,14
1789444185,monolith,14
1789444195,monolith,14
1789444205,monolith,14
1789444215,monolith,14
1789444225,monolith,14
1789444235,monolith,14
1789444245,monolith,14
1789444255,monolith,14
1789444265,monolith,14
1789444275,monolith,14
1789444285,monolith,14
1789444295,monolith,14
1789444305,monolith,14
1789444315,monolith,14
1789444325,monolith,14
1789444335,monolith,14
1789444345,monolith,14
1789444355,monolith,13
1789444365,monolith,14
1789444375,monolith,7
1789444385,monolith,13
1789444395,monolith,9
1789444405,monolith,14
1789444415,monolith,13
1789444425,monolith,13
1789444435,monolith,14
1789444445,monolith,14
1789444455,monolith,12
1789444465,monolith,14
1789444475,monolith,9
1789444485,monolith,14
1789444495,monolith,12
1789444505,monolith,14
1789444515,monolith,14
1789444525,monolith,14
1789444535,monolith,14
1789444545,monolith,10
1789444555,monolith,14
1789444565,monolith,13
1789444575,monolith,14
1789444585,monolith,14
1789444595,monolith,14
1789444605,monolith,7
1789444615,monolith,13
1789444625,monolith,14
1789444635,monolith,10
1789444645,monolith,14
1789444655,monolith,8
1789444665,monolith,9
1789444675,monolith,14
1789444685,monolith,14
1789444695,monolith,11
1789444705,monolith,14
1789444715,monolith,14
1789444725,monolith,14
1789444735,monolith,14
1789444745,monolith,8
1789444755,monolith,8
1789444765,monolith,12
1789444775,monolith,14
1789444785,monolith,13
1789444795,monolith,14
1789444805,monolith,11
1789444815,monolith,12
1789444825,monolith,14
1789444835,monolith,14
1789444845,monolith,14
1789444855,monolith,13
1789444865,monolith,4
1789444875,monolith,9
1789444885,monolith,13
1789444895,monolith,10
1789444905,monolith,14
1789444915,monolith,12
1789444925,monolith,8
1789444935,monolith,12
1789444945,monolith,14
1789444955,monolith,9
1789444965,monolith,9
1789444975,monolith,14
1789444985,monolith,13
1789444995,monolith,14
1789445005,monolith,8
1789445015,monolith,14
1789445025,monolith,14
1789445035,monolith,14
